artist,lfm_tags,lfm_listeners,lfm_playcount,lfm_found,tags
220 KID,"electronic, dance, House, british, deep house",144865.0,1010609.0,True,
22Gz,"drill, rap, new york, new york drill, hip hop",296637.0,8287732.0,True,
22ViZz,,71.0,537.0,True,
23Till,"punk, male vocalists, liszaj radio, Swedish Punk",3095.0,36930.0,True,
24SJU,,2846.0,57582.0,True,
24h,,419.0,2319.0,True,
24hrs,"rnb, Hip-Hop, USA, electronic, contemporary rnb",76163.0,587885.0,True,
24kGoldn,"Hip-Hop, rap, trap, pop, emo rap",1172207.0,22715735.0,True,
250 kg kärlek,,17394.0,166973.0,True,
257ers,"rap, Deutschrap, hip hop, german, akk",113669.0,3932272.0,True,
25th Annual Putnam County Spelling Bee Original Cast,american,35228.0,943588.0,True,
2Baba,"afropop, nigeria, afrobeats",16168.0,157903.0,True,
2CELLOS,"instrumental, cello, Symphonic Rock, croatian, acoustic",276699.0,4416538.0,True,
2Infinity,,53.0,184.0,True,
2Pac,"rap, Hip-Hop, Gangsta Rap, West Coast Rap, hip hop",4083044.0,141792411.0,True,
2R,"Drum and bass, pop, C-pop, female vocalists, chinese",6381.0,44485.0,True,
2T,"artists tecfan has seen live, brazilian, Artists I have seen Live, vietnamese",22718.0,195943.0,True,
2ara,,6348.0,106436.0,True,
2gaudy,"alternative, Hip-Hop, digicore, emo",29156.0,754091.0,True,
2jaym,,82.0,1484.0,True,
2nd Grade,"indie rock, power pop, indie pop, twee, USA",48103.0,658054.0,True,
2square,,291.0,1711.0,True,
3 Doors Down,"alternative rock, rock, alternative, hard rock, 3 Doors Down",3508630.0,88374166.0,True,
3 Hürel,"turkish, anatolian rock, Psychedelic Rock, Progressive rock, turkish psych",32786.0,327556.0,True,
3 Pill Morning,"alternative rock, rapcore, modern rock, rap rock, alternative",33021.0,375619.0,True,
3 Steps Ahead,"Gabber, hardcore, happy hardcore, hardcore techno, hardstyle",67741.0,652326.0,True,
3030,"rap, hip hop, rap underground, brazil, rnb",113201.0,2469728.0,True,
31 Minutos,"chile, infantil, humor, tv, chilean",91067.0,3010563.0,True,
311,"alternative, alternative rock, reggae, rock, ska",1649982.0,39683309.0,True,
32 Leaves,"alternative rock, alternative, rock, post-grunge, alternative metal",165277.0,1701714.0,True,
347aidan,"emo rap, indie, alternative, Hip-Hop, emo",452374.0,6839294.0,True,
36 Crazyfists,"metalcore, Nu Metal, hardcore, metal, screamo",499075.0,19026352.0,True,
38 Special,,285065.0,2896640.0,True,
3FORCE,,65557.0,739663.0,True,
3LAU,"electronic, House, mashup, Progressive House, remix",321544.0,4359084.0,True,
3OH!3,"electronic, Hip-Hop, Crunk, electronica, rap",1838636.0,53280870.0,True,
3RACHA of Stray Kids,,815.0,5876.0,True,
3TEETH,"industrial metal, industrial, industrial rock, electro-industrial, ebm",164757.0,3640652.0,True,
3rd Line Butterfly,,8220.0,129468.0,True,
3x7 Veintiuna,,3091.0,19883.0,True,
4 Strings,"trance, vocal trance, electronic, dance, techno",412115.0,4444994.0,True,
4 Tune Fairytales,"happy hardcore, Rave, hardcore, 90s, electronic",20374.0,123685.0,True,
4*TOWN (From Disney and Pixar’s Turning Red),"fictional, pop, Disney, electropop, ost",236049.0,2401392.0,True,
40 Below Summer,"Nu Metal, alternative metal, metal, Nu-metal, rock",250625.0,2917128.0,True,
404vincent,,44527.0,739425.0,True,
42nd Street Ensemble,,281.0,688.0,True,
44phantom,"pop, american, pop rock, rap, Hip-Hop",105803.0,2563912.0,True,
450,"rap, jamaica, dancehall",13346.0,221986.0,True,
48th St. Collective,"jazz, All, Bossa Nova, chillout, female vocalists",61704.0,386844.0,True,
4D Nature Recordings,"ambient, soundscape, Nature",40736.0,461270.0,True,
4Keus Gang,"french, rap, france, french rap, la courneuve",11937.0,140871.0,True,
4Korners,,3184.0,8566.0,True,
4TH Chapter,,1221.0,2704.0,True,
4ever Falling,"emo rap, female vocalist, trap, emo, lil bo weep",22552.0,228262.0,True,
4hero,"Drum and bass, electronic, downtempo, chillout, nu jazz",368668.0,4033454.0,True,
4i20,"psytrance, electronic, progressive trance",24078.0,132667.0,True,
4to28,,15546.0,38953.0,True,
4yye,,3206.0,57942.0,True,
5 Adım,"turkey, turkish",4102.0,16685.0,True,
5 Seconds of Summer,"pop punk, pop rock, pop, australian, rock",2200175.0,200567369.0,True,
5 a Seco,"mpb, brazilian, alternative, indie, folk",151567.0,4559172.0,True,
50 Cent,"rap, Hip-Hop, Gangsta Rap, hip hop, 50 Cent",4825809.0,115254313.0,True,
509-E,"rap, Rap Nacional, brazilian rap, brazilian, hip hop",89160.0,1042816.0,True,
50landing,"rap, pop, USA, indie pop, emo pop",54371.0,1548397.0,True,
53 Thieves,"electronic, lovestep, trip-hop, future bass, chill",107219.0,1099823.0,True,
5oh8,,371.0,1509.0,True,
6 Dogs,"cloud rap, american, georgia, rap, Southern Hip Hop",323578.0,9326305.0,True,
6091,"ambient, remix, Malayalam, mix",4005.0,45848.0,True,
666,"techno, dance, black metal, trance, electronic",190460.0,1686146.0,True,
678NATH,,1821.0,24325.0,True,
69 Boyz,"miami bass, Hip-Hop, rap, hip hop, 90s",95981.0,380693.0,True,
6EJOU,"Dark Techno, Industrial Techno, electronic, Rave, hard techno",31179.0,310304.0,True,
6LACK,"rnb, rap, Hip-Hop, soul, atlanta",978338.0,37839055.0,True,
6ix9ine,"Hip-Hop, rap, trap, hip hop, Reggaeton",1139223.0,31198059.0,True,
6n,,9.0,15.0,True,
6o,"emorap, emo rap",45919.0,1156027.0,True,
6t6,,684.0,1602.0,True,
7 MinutoZ,"hip hop, rap, brazil, humor, NERD",111710.0,7591043.0,True,
7 Minutoz,"hip hop, rap, brazil, humor, NERD",111710.0,7591043.0,True,
7 Skies,"trance, uplifting trance, progressive trance, Anjunabeats, electronic",34259.0,192187.0,True,
7!!,"j-pop, japanese, pop, J-rock, female vocalists",161013.0,2382267.0,True,
7Horse,"rock, indie, alternative, modern rock, rock n roll",72081.0,488731.0,True,
7evin7ins,"rap, emo, new jersey, american, United States",58737.0,605135.0,True,
7kingZ,"alternative, crossover, Hype Songs",12731.0,144233.0,True,
7ru7h,"rap, Hip-Hop, american, USA, United States",54332.0,1100020.0,True,
8 Crazy Nights Cast,,0.0,0.0,False,
8 Graves,"electronic, alternative, USA, american, United States",105660.0,2110460.0,True,
8 Kalacas,"skacore, ska-punk, punk, ska, USA",7561.0,123430.0,True,
808 Ander,,79.0,861.0,True,
80purppp,"rap, Hip-Hop, indie, Canadian, chill",494792.0,8076441.0,True,
80xx,canada,2277.0,10789.0,True,
831,"touhou, rock, instrumental, electronic, taiwan",31939.0,500036.0,True,
8485,"hyperpop, electronic, electropop, pop, Canadian",230777.0,7715559.0,True,
88GLAM,"rap, Hip-Hop, hip hop, rnb, trap",244480.0,5526990.0,True,
8901,,8.0,152.0,True,
89ine,,13288.0,57202.0,True,
8Kays,"Progressive House, House, Ukraine, deep house, tech house",27499.0,146428.0,True,
8lak,,2489.0,20833.0,True,
8percent,numbers,123576.0,1642911.0,True,
8th Sin,"industrial metal, metal, Sweden, swedish, Gothic Metal",13635.0,75254.0,True,
9 Lazy 9,"downtempo, acid jazz, ninja tune, trip-hop, chillout",371684.0,3931861.0,True,
9 Theory,"funk_add_to_lidarr, United States, funk_add_to_lidarr_batch_1",12526.0,93659.0,True,
90´s Pop Tour,,7497.0,136930.0,True,
91 All Stars,"beatdown, french, france, hardcore, beatdown hardcore",11301.0,133330.0,True,
916frosty,"emo rap, USA, cloud rap",89554.0,2488926.0,True,
92 Sounds,,7.0,33.0,True,
92914,"soul, folk, indie, Korean, k-indie",130505.0,1972547.0,True,
93FEETOFSMOKE,"emo rap, trap, rap, cloud rap, Emo Trap",92298.0,3879634.0,True,
954mari,,5832.0,259240.0,True,
9Mill,,1.0,48.0,True,
9m88,"Neo-Soul, rnb, taiwanese, jazz, soul",21607.0,232646.0,True,
9mm Parabellum Bullet,"J-rock, japanese, rock, alternative, indie",193240.0,10086638.0,True,
9smkr,,36233.0,324041.0,True,
9tails,"emo rap, cloud rap, rap, emo, canada",6367.0,1026746.0,True,
:Wumpscut:,"industrial, ebm, dark electro, darkwave, electronic",222983.0,10978775.0,True,
=LOVE,"j-pop, japanese, idol, JPop, girls",19553.0,1345861.0,True,
? & The Mysterians,,135897.0,748305.0,True,
@1Tmt__,,0.0,0.0,False,
A Banda Mais Bonita da Cidade,"mpb, indie, brazilian, alternative, brasil",190704.0,4208975.0,True,
A Boogie Wit da Hoodie,"Hip-Hop, rap, hip hop, trap, Melodic Rap",1403435.0,97473712.0,True,
A Dama,"brazil, pagode baiano",23981.0,116871.0,True,
A Day To Remember,"post-hardcore, pop punk, hardcore, screamo, emocore",1898134.0,153794931.0,True,
A Família,"Hip-Hop, rap, brazilian, Rap Nacional",16506.0,120969.0,True,
A Feast for Kings,"metalcore, post-hardcore, Progressive Metalcore, melodic metalcore, christian",7363.0,85704.0,True,
A Fine Frenzy,"female vocalists, indie, singer-songwriter, piano, pop",853248.0,21696992.0,True,
A Flock Of Seagulls,"new wave, synthpop, 80s, new romantic, pop",1228941.0,12977724.0,True,
A Forest Mighty Black,"downtempo, chillout, acid jazz, lounge, electronic",212234.0,2380734.0,True,
A Great Big World,"indie, indie pop, pop, american, piano",828788.0,8327916.0,True,
A Life Once Lost,"metalcore, groove metal, mathcore, hardcore, metal",71500.0,1412427.0,True,
A Little Night Music Original Broadway Cast Ensemble,,114.0,478.0,True,
A Little Sound,"Drum and bass, electronic, upcoming album 2022, yandex music, 4",43761.0,355270.0,True,
A Mose,,1895.0,15747.0,True,
A Niu,,2080.0,14354.0,True,
A Number Of Names,"electro, techno, detroit techno, detroit, electronic",33653.0,120055.0,True,
A R I Z O N A,"pop, electronic, synth, indietronica, american",382592.0,6428032.0,True,
A Rocket To The Moon,"powerpop, electronic, electronica, experimental, power pop",428891.0,13024138.0,True,
A Si,"chinese, mandopop, pop, female vocalists, fix",31387.0,372015.0,True,
A Skylit Drive,"post-hardcore, screamo, emocore, hardcore, emo",512667.0,17781005.0,True,
A Touch Of Class,"dance, pop, Europop, electronic, eurodance",469988.0,3560013.0,True,
A Tribe Called Quest,"Hip-Hop, rap, Jazz Hop, hip hop, funk",2430335.0,108548914.0,True,
A Vida Music,,427.0,1317.0,True,
A Wilhelm Scream,"melodic hardcore, punk rock, punk, hardcore, hardcore punk",195727.0,10473137.0,True,
A Winged Victory for the Sullen,"ambient, neoclassical, piano, modern classical, contemporary classical",326735.0,6698847.0,True,
A$AP Ferg,"Hip-Hop, trap, rap, hip hop, swag",1590334.0,41167083.0,True,
A$AP Rocky,"Hip-Hop, rap, underground hip-hop, swag, cloud rap",3330791.0,342418033.0,True,
A$AP TyY,"Hip-Hop, rap, asap, hip hop, swag",20230.0,109660.0,True,
A*M*E,"pop, dance, electronica, female vocals, rap",11354.0,131257.0,True,
A*S*Y*S,"Acid, Hard Trance, trance, hardstyle, acid trance",66179.0,474495.0,True,
A-F-R-O,"Hip-Hop, rap, hip hop, underground rap, underground hip-hop",27192.0,279668.0,True,
A-Lin,"pop, taiwanese, C-pop, female vocalists, taiwan",47434.0,1526034.0,True,
A-Lusion,"hardstyle, techno, jumpstyle, Hardbass, dutch",49301.0,464120.0,True,
A-Mei Chang,,30557.0,777428.0,True,
A-Star,afrobeat,17543.0,120416.0,True,
A-Tech,"Drum and bass, electronic, trance, psytrance, Drum n Bass",2930.0,15820.0,True,
A-Trak,"electronic, turntablism, Hip-Hop, electro, scratch",419796.0,3655743.0,True,
A-WA,"yemenite, electronic, Israel, israeli, world",27262.0,381308.0,True,
A-Zone,"jungle, london, Drum and bass, All, breakbeat",3511.0,11888.0,True,
A-do,"chinese, mandopop",7363.0,69300.0,True,
A. G. Cook,"bubblegum bass, electronic, pc music, pop, hyperpop",455675.0,16151978.0,True,
A. Kanyakumari,"violin, carnatic, Indian, world, india",2708.0,12880.0,True,
A. Manetta,,0.0,0.0,False,
A. R. Reihana,,108.0,331.0,True,
A.B.I,,123.0,557.0,True,
A.CHAL,"electronic, idm, trip-hop, experimental, Peru",144635.0,1884060.0,True,
A.M.C,"Drum and bass, dnb, jump up, jungle, neurofunk",56835.0,554719.0,True,
A.M.C.,All,429.0,2644.0,True,
A.M.R,"trance, electronic, uplifting trance, Progressive House, Chill House",39280.0,309419.0,True,
A.N.I.M.A.L.,"groove metal, Nu Metal, thrash metal, metal, heavy metal",27597.0,647659.0,True,
A.R. Rahman,"Soundtrack, Indian, bollywood, Hindi, A R Rahman",653769.0,16246146.0,True,
A.Skillz,"funk, breaks, oldskool, breakbeat, hip hop",23777.0,162781.0,True,
A1 x J1,"rap, hip hop, british, drill, Hip-Hop",178577.0,2761657.0,True,
A1Melodymaster,,23.0,80.0,True,
A7S,"EDM, pop, swedish, House, Sweden",73054.0,386089.0,True,
AA Apres-Ski!,Austria,4299.0,18598.0,True,
AAKASH,,4147.0,16003.0,True,
ABBA,"pop, Disco, 70s, swedish, 80s",4284281.0,183770338.0,True,
ABC,"new wave, 80s, new romantic, pop, synth pop",640633.0,6741094.0,True,
ABC Kids,,39096.0,401133.0,True,
ABK,,12953.0,176011.0,True,
AC Music,,1016.0,6987.0,True,
AC Slater,"dubstep, electro, House, electronic, fidget house",212351.0,1837587.0,True,
AC/DC,"hard rock, classic rock, rock, heavy metal, metal",4475231.0,209053990.0,True,
AC15,,3.0,6.0,True,
ACE COLLECTION,"rock, japanese, J-rock, modern rock",15501.0,187967.0,True,
ACN Music.,"ambient, japanese, j-pop, Soundtrack, atmospheric",78712.0,1248021.0,True,
ACxDC,"powerviolence, grindcore, hardcore, power violence, thrashcore",50415.0,1820899.0,True,
ADK Srirascol,,367.0,2827.0,True,
ADL,"french, swedish, rap, hip hop, rap francais",82662.0,1299269.0,True,
ADM,"electronic, Pr Core franaise, Old Jack, Progressive rock, electro",7017.0,73564.0,True,
ADSO,"venezuela, venezuelan",18685.0,147791.0,True,
AERYN,,364.0,3708.0,True,
AFC,"swedish hiphop, swedish, Hip-Hop, hip hop, uruguay",5290.0,54888.0,True,
AFI,"punk rock, punk, alternative, rock, emo",1942339.0,87297095.0,True,
AFK,"dubstep, electronic, Brostep, bass, mistagged",39368.0,301018.0,True,
AFKAP,"Hip-Hop, rap, chill, Indian, Desi Hip Hop",9493.0,222486.0,True,
AFTERMYFALL,"electronic, metalcore",520.0,3084.0,True,
AG Beatz,,21.0,36.0,True,
AGA,"C-pop, female vocalists, Hong Kong, pop, Asian Pop",23586.0,659458.0,True,
AGLORY,"techno, french, hip hop, experimental, trap",17417.0,112508.0,True,
AHOSHI,,7267.0,12575.0,True,
AHYRE,,3715.0,48199.0,True,
AI,"j-pop, japanese, female vocalists, j-urban, Hip-Hop",82934.0,1459942.0,True,
AIDYL,,5.0,29.0,True,
AILEE,,279990.0,7355650.0,True,
AIRMANN,"demoscene, electronic, soundevotion",10628.0,50945.0,True,
AIROD,"techno, industrial, Acid, House, electronic",60339.0,466458.0,True,
AJ Ghent [ j-ent ],,10513.0,42244.0,True,
AJ Meijer,,1.0,1.0,True,
AJ Mitchell,"teen pop, pop, 2019, best new artist, Male Singers",305908.0,3999740.0,True,
AJ Salvatore,"pop, electronic",17269.0,89052.0,True,
AJ Tracey,"Grime, rap, Hip-Hop, hip hop, british",495054.0,16509516.0,True,
AJ Wav,,6.0,17.0,True,
AJJ,"folk punk, punk, folk, anti-folk, punk rock",442640.0,26869882.0,True,
AJR,"indie pop, pop, indie, indie rock, american",1204037.0,53089601.0,True,
AJX,,1007.0,5996.0,True,
AK Bhuker,,1269.0,4318.0,True,
AK-69,"japanese, rap, j-hip hop, hip hop, musicians with extremely sexy voices",16890.0,401672.0,True,
AKA AFK,"Grime, brazil, brasil, brime, brazillian grime",10028.0,157598.0,True,
AKA AKA,"minimal, minimal techno, tech house, techno, Berlin",74752.0,519057.0,True,
AKASA,"shoegaze, pop, post-rock, downtempo, female vocalists",7041.0,41327.0,True,
AKB48,"j-pop, japanese, idol, akb48, JPop",185852.0,25664608.0,True,
AKI,"japanese, j-pop, female vocalists, touhou, swedish",91179.0,1638176.0,True,
AKKI (DE),"techno, german, electronic",47888.0,335145.0,True,
AKLO,"japanese, Hip-Hop, dark ambient, ambient, lovecraft",18846.0,395335.0,True,
AL-90,"outsider house, House, Lo-Fi, future garage, ambient",165613.0,3074076.0,True,
ALASKA,"Drum and bass, drumfunk, post-hardcore, ska, hardcore",99857.0,1344012.0,True,
ALEX,"synthwave, electronic, retrowave, pop, darksynth",269704.0,3531436.0,True,
ALEX FATT,"rap, hip hop, Reggaeton, puerto rico",3151.0,21584.0,True,
ALEXANDRE APOSAN,"gospel, rock, pop, soul, alternative",4818.0,32231.0,True,
ALI,"Hip-Hop, ali, jazz, funk, rap francais",513542.0,8884355.0,True,
ALIENSKILEZ,,4.0,150.0,True,
ALIUS,"electronic, ambient, dark ambient, dance, australia",32847.0,197455.0,True,
ALLÉ,,1768.0,3633.0,True,
ALMA,"pop, finnish, french, france, female vocalists",311841.0,3918239.0,True,
ALMAR,"progressive trance, trance, electronic, electronica",28329.0,167605.0,True,
ALPHA 9,"trance, progressive trance, electronic, uplifting trance, russian",102670.0,1205555.0,True,
AMAGII,,114.0,392.0,True,
AMAN,"indie, Hindi, All, Progressive House, basel",9614.0,104879.0,True,
AMARIA BB,"jamaica, UK, rnb, reggae, dancehall",77649.0,776802.0,True,
AMAYA,"latin, trance, españa, pop, spain",7156.0,49671.0,True,
AMK,"noise, experimental, field recordings, ambient, Hong Kong",26357.0,581656.0,True,
AMONGST THE ASHES,"Melodic Death Metal, rock, thrash metal, death metal, three piece",654.0,3226.0,True,
AMRITA NAYAK,,49.0,589.0,True,
AMÉMÉ,"House, electronic, deep house, USA",22346.0,86378.0,True,
AN21,"House, swedish, dance, club, All",29866.0,103932.0,True,
ANAVITÓRIA,"folk, mpb, brazilian, pop, duo",509495.0,60889978.0,True,
AND.ID,"minimal, minimal techno, tech house, electronic, techno",10375.0,43431.0,True,
ANDY SVGE,"hardstyle, dutch, euphoric, netherlands, Hard Dance",18621.0,204486.0,True,
ANNA,"minimal, minimal techno, techno, electronic, italian",268551.0,5746407.0,True,
ANSONBEAN,,1001.0,11911.0,True,
ANUQRAM,"trance, Progressive House, progressive trance, russian, Russia",18869.0,168778.0,True,
ANVY,"Gothic, alternative rock, Gothic Metal, Female fronted metal, symphonic metal",77.0,467.0,True,
ANXZIETY,,2.0,6.0,True,
AO Cubo,"rap, hip hop, Rap Nacional, Ao Cubo, christian hip-hop",27196.0,313748.0,True,
AP Dhillon,"Bhangra, canada, Indian, india, Indian roots",124084.0,7969359.0,True,
APEK,"dubstep, USA, United States, us, EDM",22487.0,145877.0,True,
APOLLYON.,,5941.0,29103.0,True,
AR Paisley,,11490.0,116110.0,True,
AR Rahman,,15938.0,213461.0,True,
AR/CO,"dance, electronic",51763.0,299650.0,True,
ARAM Mafia,,683.0,3679.0,True,
ARIETE,,51995.0,2064901.0,True,
ARIUS,"indie rock, heavy metal, death metal, american, colombian metal",14591.0,83662.0,True,
ARMNHMR,"dubstep, electronic, EDM, dance, United States",85567.0,2150571.0,True,
ARTBAT,"techno, Ukrainian, electronic, House, Ukraine",164212.0,1756140.0,True,
ARTHNAMIX,,0.0,0.0,False,
ARTY,"trance, progressive trance, electronic, russian, Anjunabeats",422559.0,5296381.0,True,
ASCA,"trance, psychedelic, techno, j-pop, female vocalists",81884.0,1788111.0,True,
ASIAN KUNG-FU GENERATION,"J-rock, japanese, rock, j-pop, jrock",686356.0,43240040.0,True,
ASM,"noise, Hip-Hop, underground hip-hop, power electronics, drone",32785.0,237188.0,True,
ASMR HD,"background noise, ASMR",11381.0,878102.0,True,
ASMR Rain Sounds,ASMR,11460.0,395403.0,True,
ASTN,"soul, indie, pop, singer-songwriter, rnb",314339.0,4804236.0,True,
ATB,"trance, electronic, dance, vocal trance, techno",1357739.0,35229328.0,True,
ATEEZ,"k-pop, Kpop, Korean, pop, EDM",773852.0,202866266.0,True,
ATFC,"House, funky house, vocal house, dance, tech house",152081.0,723500.0,True,
ATHRS,,548.0,1574.0,True,
ATLiens,"trap, dubstep, halftime, Brostep, Deconstructed Club",79481.0,1128076.0,True,
ATR,,5492.0,31159.0,True,
ATTLAS,"ambient house, Ambient Techno, tech house, Progressive House, ambient",150755.0,1246014.0,True,
ATTOMATIC RECORDS,,0.0,0.0,False,
AUGUSTKID,,8280.0,27676.0,True,
AURORA,"art pop, synthpop, indie pop, pop, norwegian",1763814.0,86460148.0,True,
AVIRA,"hardcore, melodic techno, Canadian, beatdown, boston hardcore",38555.0,245775.0,True,
AVIWKILA,,15108.0,102070.0,True,
AVOID,"death metal, deathcore, metalcore, Melodic Death Metal, russian",55595.0,1149542.0,True,
AViVA,"Progressive rock, pop, symphonic prog, electronic, female vocalists",362554.0,5939857.0,True,
AWA,"pop, rnb, Sweden, funky, swedish",34469.0,213031.0,True,
AWAY,"Post-Black Metal, depressive black metal, shoegaze, indie, norwegian",52713.0,489929.0,True,
AWOLNATION,"electronic, indie, alternative, indie rock, rock",1506529.0,29672150.0,True,
AXMO,"industrial, noise, germany, synthcore, funk_add_to_lidarr_batch_1",57862.0,608832.0,True,
AXYL,,128.0,375.0,True,
AXYS,"france, jazz, lyon france",850.0,4560.0,True,
AYLIVA,"german, pop, deutschland, female singer, deutsch",92051.0,6099997.0,True,
AYMEN,"pop, electronic, minimal, deutschland, Xperience Records",29843.0,1966515.0,True,
